Result: 254 Calculation: [6, +, 13, *, 8, /, 7, +, 9, +, 12, *, 5, -, 2, -, 11, +, 1, *, 4, /, 3, -, 10] Duration: 6672200
Result: 245 Calculation: [5, +, 13, *, 3, /, 9, +, 8, +, 12, *, 6, -, 1, -, 11, +, 2, *, 7, /, 4, -, 10] Duration: 630900
Result: 72 Calculation: [1, +, 13, *, 3, /, 2, +, 6, +, 12, *, 5, -, 7, -, 11, +, 8, *, 4, /, 9, -, 10] Duration: 213300
Result: 156 Calculation: [2, +, 13, *, 8, /, 9, +, 6, +, 12, *, 7, -, 1, -, 11, +, 3, *, 4, /, 5, -, 10] Duration: 154800
Result: 35 Calculation: [7, +, 13, *, 3, /, 4, +, 9, +, 12, *, 8, -, 5, -, 11, +, 2, *, 1, /, 6, -, 10] Duration: 158200
Result: 990 Calculation: [2, +, 13, *, 8, /, 1, +, 3, +, 12, *, 5, -, 4, -, 11, +, 7, *, 9, /, 6, -, 10] Duration: 140800
Result: 42 Calculation: [5, +, 13, *, 2, /, 9, +, 1, +, 12, *, 7, -, 6, -, 11, +, 3, *, 4, /, 8, -, 10] Duration: 162600
Result: 66 Calculation: [1, +, 13, *, 7, /, 5, +, 4, +, 12, *, 9, -, 3, -, 11, +, 6, *, 2, /, 8, -, 10] Duration: 171100
Result: 54 Calculation: [3, +, 13, *, 4, /, 7, +, 1, +, 12, *, 8, -, 9, -, 11, +, 6, *, 2, /, 5, -, 10] Duration: 195700
Result: 309 Calculation: [1, +, 13, *, 9, /, 2, +, 6, +, 12, *, 3, -, 8, -, 11, +, 4, *, 7, /, 5, -, 10] Duration: 147400
Result: 374 Calculation: [5, +, 13, *, 2, /, 9, +, 3, +, 12, *, 4, -, 8, -, 11, +, 7, *, 6, /, 1, -, 10] Duration: 198700
Result: 881 Calculation: [7, +, 13, *, 6, /, 3, +, 1, +, 12, *, 4, -, 8, -, 11, +, 5, *, 9, /, 2, -, 10] Duration: 166200
Result: 36 Calculation: [9, +, 13, *, 3, /, 2, +, 5, +, 12, *, 1, -, 4, -, 11, +, 6, *, 8, /, 7, -, 10] Duration: 165400
Result: 2456 Calculation: [5, +, 13, *, 3, /, 1, +, 4, +, 12, *, 8, -, 7, -, 11, +, 6, *, 9, /, 2, -, 10] Duration: 154800
Result: 71 Calculation: [3, +, 13, *, 1, /, 2, +, 4, +, 12, *, 6, -, 9, -, 11, +, 7, *, 5, /, 8, -, 10] Duration: 134000
Result: 66 Calculation: [3, +, 13, *, 1, /, 6, +, 4, +, 12, *, 7, -, 2, -, 11, +, 9, *, 5, /, 8, -, 10] Duration: 152500
Result: -2 Calculation: [4, +, 13, *, 7, /, 5, +, 6, +, 12, *, 2, -, 9, -, 11, +, 3, *, 1, /, 8, -, 10] Duration: 128300
Result: 435 Calculation: [2, +, 13, *, 8, /, 6, +, 9, +, 12, *, 5, -, 4, -, 11, +, 1, *, 7, /, 3, -, 10] Duration: 105800
Result: 1173 Calculation: [7, +, 13, *, 8, /, 1, +, 6, +, 12, *, 3, -, 2, -, 11, +, 5, *, 9, /, 4, -, 10] Duration: 119400
Result: 73 Calculation: [4, +, 13, *, 6, /, 2, +, 3, +, 12, *, 9, -, 5, -, 11, +, 8, *, 1, /, 7, -, 10] Duration: 109500
Result: 131 Calculation: [6, +, 13, *, 8, /, 5, +, 1, +, 12, *, 2, -, 3, -, 11, +, 9, *, 7, /, 4, -, 10] Duration: 217300
Result: 97 Calculation: [1, +, 13, *, 6, /, 3, +, 9, +, 12, *, 2, -, 8, -, 11, +, 7, *, 5, /, 4, -, 10] Duration: 223400
Result: 1 Calculation: [6, +, 13, *, 4, /, 7, +, 2, +, 12, *, 1, -, 3, -, 11, +, 9, *, 5, /, 8, -, 10] Duration: 142000
Result: 1859 Calculation: [8, +, 13, *, 4, /, 6, +, 5, +, 12, *, 9, -, 3, -, 11, +, 2, *, 7, /, 1, -, 10] Duration: 124500
Result: 216 Calculation: [4, +, 13, *, 9, /, 2, +, 6, +, 12, *, 1, -, 5, -, 11, +, 7, *, 8, /, 3, -, 10] Duration: 98900
Result: 402 Calculation: [2, +, 13, *, 9, /, 4, +, 1, +, 12, *, 7, -, 5, -, 11, +, 3, *, 8, /, 6, -, 10] Duration: 136200
Result: 267 Calculation: [4, +, 13, *, 5, /, 1, +, 9, +, 12, *, 8, -, 7, -, 11, +, 3, *, 2, /, 6, -, 10] Duration: 182500
Result: 27 Calculation: [4, +, 13, *, 1, /, 3, +, 9, +, 12, *, 2, -, 5, -, 11, +, 8, *, 6, /, 7, -, 10] Duration: 589600
Result: 1222 Calculation: [6, +, 13, *, 9, /, 5, +, 2, +, 12, *, 4, -, 8, -, 11, +, 3, *, 7, /, 1, -, 10] Duration: 138200
Result: 320 Calculation: [4, +, 13, *, 9, /, 7, +, 1, +, 12, *, 5, -, 2, -, 11, +, 8, *, 6, /, 3, -, 10] Duration: 191000
Result: 411 Calculation: [2, +, 13, *, 4, /, 1, +, 7, +, 12, *, 9, -, 6, -, 11, +, 8, *, 3, /, 5, -, 10] Duration: 97300
Result: 18 Calculation: [5, +, 13, *, 4, /, 3, +, 8, +, 12, *, 1, -, 2, -, 11, +, 6, *, 7, /, 9, -, 10] Duration: 90200
Result: 8 Calculation: [2, +, 13, *, 7, /, 8, +, 9, +, 12, *, 1, -, 5, -, 11, +, 6, *, 3, /, 4, -, 10] Duration: 104100
Result: 461 Calculation: [3, +, 13, *, 9, /, 1, +, 5, +, 12, *, 4, -, 7, -, 11, +, 2, *, 6, /, 8, -, 10] Duration: 94000
Result: 89 Calculation: [6, +, 13, *, 1, /, 2, +, 3, +, 12, *, 5, -, 4, -, 11, +, 9, *, 7, /, 8, -, 10] Duration: 78200
Result: 428 Calculation: [9, +, 13, *, 7, /, 5, +, 1, +, 12, *, 8, -, 6, -, 11, +, 2, *, 4, /, 3, -, 10] Duration: 228700
Result: 502 Calculation: [9, +, 13, *, 2, /, 6, +, 5, +, 12, *, 3, -, 4, -, 11, +, 7, *, 8, /, 1, -, 10] Duration: 137700
Result: 40 Calculation: [1, +, 13, *, 3, /, 6, +, 4, +, 12, *, 8, -, 5, -, 11, +, 9, *, 2, /, 7, -, 10] Duration: 77500
Result: 279 Calculation: [3, +, 13, *, 2, /, 6, +, 8, +, 12, *, 7, -, 4, -, 11, +, 1, *, 9, /, 5, -, 10] Duration: 84300
Result: 266 Calculation: [5, +, 13, *, 6, /, 1, +, 3, +, 12, *, 8, -, 9, -, 11, +, 4, *, 2, /, 7, -, 10] Duration: 92500
Result: 126 Calculation: [7, +, 13, *, 1, /, 8, +, 6, +, 12, *, 9, -, 2, -, 11, +, 3, *, 4, /, 5, -, 10] Duration: 149000
Result: 390 Calculation: [4, +, 13, *, 7, /, 8, +, 6, +, 12, *, 3, -, 1, -, 11, +, 5, *, 9, /, 2, -, 10] Duration: 129500
Result: 1598 Calculation: [3, +, 13, *, 9, /, 1, +, 6, +, 12, *, 5, -, 2, -, 11, +, 7, *, 8, /, 4, -, 10] Duration: 191200
Result: 0 Calculation: [7, +, 13, *, 4, /, 3, +, 6, +, 12, *, 2, -, 5, -, 11, +, 9, *, 1, /, 8, -, 10] Duration: 114200
Result: 150 Calculation: [7, +, 13, *, 1, /, 4, +, 9, +, 12, *, 5, -, 2, -, 11, +, 3, *, 8, /, 6, -, 10] Duration: 98000
Result: 131 Calculation: [8, +, 13, *, 7, /, 3, +, 1, +, 12, *, 2, -, 4, -, 11, +, 9, *, 6, /, 5, -, 10] Duration: 114400
Result: 58 Calculation: [1, +, 13, *, 9, /, 8, +, 2, +, 12, *, 5, -, 4, -, 11, +, 7, *, 3, /, 6, -, 10] Duration: 88200
Result: 92 Calculation: [1, +, 13, *, 5, /, 9, +, 6, +, 12, *, 4, -, 2, -, 11, +, 3, *, 8, /, 7, -, 10] Duration: 80200
Result: 444 Calculation: [5, +, 13, *, 2, /, 1, +, 3, +, 12, *, 7, -, 9, -, 11, +, 4, *, 8, /, 6, -, 10] Duration: 86000
Result: 23 Calculation: [6, +, 13, *, 3, /, 2, +, 5, +, 12, *, 1, -, 9, -, 11, +, 4, *, 8, /, 7, -, 10] Duration: 1628900
Result: 169 Calculation: [1, +, 13, *, 6, /, 5, +, 8, +, 12, *, 9, -, 2, -, 11, +, 3, *, 4, /, 7, -, 10] Duration: 173800
Result: 66 Calculation: [3, +, 13, *, 8, /, 6, +, 7, +, 12, *, 4, -, 5, -, 11, +, 9, *, 1, /, 2, -, 10] Duration: 125800
Result: 86 Calculation: [6, +, 13, *, 5, /, 4, +, 3, +, 12, *, 9, -, 1, -, 11, +, 8, *, 2, /, 7, -, 10] Duration: 192400
Result: 228 Calculation: [4, +, 13, *, 6, /, 2, +, 9, +, 12, *, 3, -, 1, -, 11, +, 5, *, 8, /, 7, -, 10] Duration: 1237200
Result: 441 Calculation: [3, +, 13, *, 9, /, 4, +, 1, +, 12, *, 8, -, 7, -, 11, +, 2, *, 6, /, 5, -, 10] Duration: 260900
Result: 250 Calculation: [8, +, 13, *, 5, /, 4, +, 6, +, 12, *, 9, -, 1, -, 11, +, 7, *, 2, /, 3, -, 10] Duration: 96500
Result: 114 Calculation: [4, +, 13, *, 3, /, 7, +, 1, +, 12, *, 9, -, 5, -, 11, +, 2, *, 6, /, 8, -, 10] Duration: 136000
Result: 54 Calculation: [1, +, 13, *, 7, /, 3, +, 8, +, 12, *, 4, -, 9, -, 11, +, 5, *, 2, /, 6, -, 10] Duration: 69600
Result: 368 Calculation: [5, +, 13, *, 3, /, 8, +, 1, +, 12, *, 6, -, 4, -, 11, +, 9, *, 7, /, 2, -, 10] Duration: 209700
Result: 14 Calculation: [4, +, 13, *, 1, /, 6, +, 8, +, 12, *, 2, -, 5, -, 11, +, 3, *, 7, /, 9, -, 10] Duration: 180300
Result: 360 Calculation: [1, +, 13, *, 7, /, 2, +, 6, +, 12, *, 9, -, 3, -, 11, +, 4, *, 5, /, 8, -, 10] Duration: 85800
