Result: 350 Calculation: [4, +, 13, *, 6, /, 5, +, 1, +, 12, *, 3, -, 7, -, 11, +, 9, *, 8, /, 2, -, 10] Duration: 432000
Result: 657 Calculation: [9, +, 13, *, 7, /, 1, +, 2, +, 12, *, 8, -, 4, -, 11, +, 5, *, 3, /, 6, -, 10] Duration: 210500
Result: 70 Calculation: [1, +, 13, *, 6, /, 5, +, 4, +, 12, *, 9, -, 3, -, 11, +, 8, *, 2, /, 7, -, 10] Duration: 276100
Result: 72 Calculation: [8, +, 13, *, 5, /, 9, +, 3, +, 12, *, 6, -, 2, -, 11, +, 1, *, 4, /, 7, -, 10] Duration: 253600
Result: 572 Calculation: [7, +, 13, *, 9, /, 1, +, 5, +, 12, *, 4, -, 3, -, 11, +, 2, *, 6, /, 8, -, 10] Duration: 161400
Result: 75 Calculation: [5, +, 13, *, 6, /, 9, +, 2, +, 12, *, 8, -, 1, -, 11, +, 4, *, 3, /, 7, -, 10] Duration: 150800
Result: -2 Calculation: [6, +, 13, *, 9, /, 8, +, 4, +, 12, *, 1, -, 7, -, 11, +, 3, *, 2, /, 5, -, 10] Duration: 153400
Result: 13 Calculation: [7, +, 13, *, 1, /, 3, +, 6, +, 12, *, 5, -, 8, -, 11, +, 4, *, 2, /, 9, -, 10] Duration: 130000
Result: 55 Calculation: [5, +, 13, *, 1, /, 9, +, 8, +, 12, *, 4, -, 3, -, 11, +, 2, *, 6, /, 7, -, 10] Duration: 99900
Result: 44 Calculation: [6, +, 13, *, 1, /, 3, +, 8, +, 12, *, 2, -, 4, -, 11, +, 5, *, 9, /, 7, -, 10] Duration: 111500
Result: 284 Calculation: [7, +, 13, *, 3, /, 6, +, 8, +, 12, *, 5, -, 1, -, 11, +, 9, *, 4, /, 2, -, 10] Duration: 110800
Result: 64 Calculation: [4, +, 13, *, 9, /, 2, +, 5, +, 12, *, 1, -, 3, -, 11, +, 6, *, 7, /, 8, -, 10] Duration: 88700
Result: 48 Calculation: [7, +, 13, *, 8, /, 4, +, 1, +, 12, *, 2, -, 6, -, 11, +, 9, *, 3, /, 5, -, 10] Duration: 106400
Result: 134 Calculation: [2, +, 13, *, 4, /, 3, +, 7, +, 12, *, 6, -, 1, -, 11, +, 9, *, 5, /, 8, -, 10] Duration: 95200
Result: 355 Calculation: [7, +, 13, *, 4, /, 9, +, 6, +, 12, *, 3, -, 2, -, 11, +, 8, *, 5, /, 1, -, 10] Duration: 80200
Result: 201 Calculation: [1, +, 13, *, 7, /, 9, +, 8, +, 12, *, 5, -, 4, -, 11, +, 6, *, 3, /, 2, -, 10] Duration: 77600
Result: 413 Calculation: [6, +, 13, *, 9, /, 3, +, 8, +, 12, *, 7, -, 1, -, 11, +, 2, *, 4, /, 5, -, 10] Duration: 79000
Result: 135 Calculation: [2, +, 13, *, 4, /, 3, +, 6, +, 12, *, 7, -, 1, -, 11, +, 8, *, 5, /, 9, -, 10] Duration: 129300
Result: 16 Calculation: [8, +, 13, *, 1, /, 7, +, 6, +, 12, *, 4, -, 9, -, 11, +, 3, *, 2, /, 5, -, 10] Duration: 127500
Result: 942 Calculation: [9, +, 13, *, 3, /, 6, +, 4, +, 12, *, 5, -, 7, -, 11, +, 2, *, 8, /, 1, -, 10] Duration: 200000
Result: 157 Calculation: [2, +, 13, *, 6, /, 5, +, 3, +, 12, *, 9, -, 1, -, 11, +, 8, *, 4, /, 7, -, 10] Duration: 136800
Result: 18 Calculation: [9, +, 13, *, 3, /, 2, +, 6, +, 12, *, 4, -, 5, -, 11, +, 8, *, 1, /, 7, -, 10] Duration: 103400
Result: 40 Calculation: [7, +, 13, *, 1, /, 5, +, 2, +, 12, *, 4, -, 3, -, 11, +, 9, *, 6, /, 8, -, 10] Duration: 87200
Result: 416 Calculation: [3, +, 13, *, 4, /, 8, +, 5, +, 12, *, 9, -, 7, -, 11, +, 6, *, 2, /, 1, -, 10] Duration: 92400
Result: 1106 Calculation: [7, +, 13, *, 5, /, 2, +, 4, +, 12, *, 3, -, 9, -, 11, +, 8, *, 6, /, 1, -, 10] Duration: 104800
Result: 166 Calculation: [4, +, 13, *, 3, /, 2, +, 6, +, 12, *, 7, -, 9, -, 11, +, 1, *, 5, /, 8, -, 10] Duration: 83000
Result: 188 Calculation: [5, +, 13, *, 9, /, 6, +, 4, +, 12, *, 7, -, 1, -, 11, +, 8, *, 2, /, 3, -, 10] Duration: 82500
Result: 252 Calculation: [9, +, 13, *, 5, /, 3, +, 4, +, 12, *, 6, -, 2, -, 11, +, 1, *, 7, /, 8, -, 10] Duration: 88600
Result: 1098 Calculation: [6, +, 13, *, 5, /, 1, +, 2, +, 12, *, 8, -, 3, -, 11, +, 4, *, 9, /, 7, -, 10] Duration: 91900
Result: 0 Calculation: [8, +, 13, *, 4, /, 9, +, 2, +, 12, *, 3, -, 5, -, 11, +, 7, *, 1, /, 6, -, 10] Duration: 66900
Result: 30 Calculation: [4, +, 13, *, 8, /, 2, +, 3, +, 12, *, 1, -, 6, -, 11, +, 7, *, 5, /, 9, -, 10] Duration: 74000
Result: 198 Calculation: [7, +, 13, *, 9, /, 4, +, 1, +, 12, *, 5, -, 3, -, 11, +, 2, *, 6, /, 8, -, 10] Duration: 95000
Result: 1250 Calculation: [2, +, 13, *, 7, /, 3, +, 9, +, 12, *, 4, -, 8, -, 11, +, 5, *, 6, /, 1, -, 10] Duration: 93500
Result: 25 Calculation: [6, +, 13, *, 7, /, 9, +, 5, +, 12, *, 4, -, 8, -, 11, +, 2, *, 1, /, 3, -, 10] Duration: 58300
Result: 53 Calculation: [6, +, 13, *, 8, /, 9, +, 4, +, 12, *, 5, -, 2, -, 11, +, 1, *, 3, /, 7, -, 10] Duration: 65000
Result: 321 Calculation: [9, +, 13, *, 1, /, 2, +, 8, +, 12, *, 5, -, 6, -, 11, +, 4, *, 7, /, 3, -, 10] Duration: 77600
Result: 3857 Calculation: [7, +, 13, *, 9, /, 1, +, 3, +, 12, *, 8, -, 6, -, 11, +, 4, *, 5, /, 2, -, 10] Duration: 73900
Result: 100 Calculation: [6, +, 13, *, 8, /, 1, +, 4, +, 12, *, 3, -, 5, -, 11, +, 7, *, 2, /, 9, -, 10] Duration: 78000
Result: 57 Calculation: [8, +, 13, *, 1, /, 7, +, 9, +, 12, *, 6, -, 3, -, 11, +, 5, *, 2, /, 4, -, 10] Duration: 77700
Result: 296 Calculation: [7, +, 13, *, 4, /, 5, +, 9, +, 12, *, 6, -, 8, -, 11, +, 1, *, 3, /, 2, -, 10] Duration: 52700
Result: 1340 Calculation: [6, +, 13, *, 7, /, 8, +, 3, +, 12, *, 9, -, 2, -, 11, +, 4, *, 5, /, 1, -, 10] Duration: 48400
Result: 2742 Calculation: [5, +, 13, *, 6, /, 3, +, 2, +, 12, *, 7, -, 4, -, 11, +, 9, *, 8, /, 1, -, 10] Duration: 74300
Result: 900 Calculation: [8, +, 13, *, 3, /, 9, +, 4, +, 12, *, 6, -, 2, -, 11, +, 5, *, 7, /, 1, -, 10] Duration: 43400
Result: 105 Calculation: [1, +, 13, *, 8, /, 5, +, 6, +, 12, *, 4, -, 3, -, 11, +, 2, *, 7, /, 9, -, 10] Duration: 55800
Result: 49 Calculation: [3, +, 13, *, 1, /, 6, +, 8, +, 12, *, 7, -, 4, -, 11, +, 9, *, 2, /, 5, -, 10] Duration: 50700
Result: 746 Calculation: [1, +, 13, *, 5, /, 2, +, 8, +, 12, *, 6, -, 4, -, 11, +, 9, *, 7, /, 3, -, 10] Duration: 35400
Result: 71 Calculation: [1, +, 13, *, 3, /, 6, +, 5, +, 12, *, 2, -, 8, -, 11, +, 7, *, 9, /, 4, -, 10] Duration: 37900
Result: 438 Calculation: [8, +, 13, *, 7, /, 4, +, 5, +, 12, *, 6, -, 9, -, 11, +, 1, *, 3, /, 2, -, 10] Duration: 37700
Result: 114 Calculation: [5, +, 13, *, 3, /, 4, +, 7, +, 12, *, 8, -, 6, -, 11, +, 9, *, 1, /, 2, -, 10] Duration: 42400
Result: 117 Calculation: [3, +, 13, *, 5, /, 6, +, 9, +, 12, *, 8, -, 7, -, 11, +, 1, *, 2, /, 4, -, 10] Duration: 38900
Result: 285 Calculation: [8, +, 13, *, 7, /, 3, +, 6, +, 12, *, 9, -, 5, -, 11, +, 4, *, 1, /, 2, -, 10] Duration: 39800
Result: 39 Calculation: [2, +, 13, *, 5, /, 8, +, 1, +, 12, *, 6, -, 9, -, 11, +, 4, *, 3, /, 7, -, 10] Duration: 39300
Result: 74 Calculation: [1, +, 13, *, 6, /, 4, +, 3, +, 12, *, 2, -, 9, -, 11, +, 8, *, 7, /, 5, -, 10] Duration: 37200
Result: 702 Calculation: [5, +, 13, *, 7, /, 4, +, 2, +, 12, *, 6, -, 1, -, 11, +, 9, *, 8, /, 3, -, 10] Duration: 34000
Result: 700 Calculation: [8, +, 13, *, 6, /, 4, +, 1, +, 12, *, 5, -, 9, -, 11, +, 3, *, 7, /, 2, -, 10] Duration: 36800
Result: 121 Calculation: [9, +, 13, *, 3, /, 2, +, 1, +, 12, *, 6, -, 7, -, 11, +, 5, *, 4, /, 8, -, 10] Duration: 35700
Result: 32 Calculation: [2, +, 13, *, 3, /, 5, +, 8, +, 12, *, 9, -, 4, -, 11, +, 7, *, 1, /, 6, -, 10] Duration: 37500
Result: 1520 Calculation: [8, +, 13, *, 4, /, 5, +, 3, +, 12, *, 6, -, 7, -, 11, +, 2, *, 9, /, 1, -, 10] Duration: 37800
Result: 156 Calculation: [1, +, 13, *, 7, /, 3, +, 9, +, 12, *, 8, -, 4, -, 11, +, 6, *, 2, /, 5, -, 10] Duration: 40900
Result: 685 Calculation: [2, +, 13, *, 8, /, 6, +, 7, +, 12, *, 4, -, 9, -, 11, +, 3, *, 5, /, 1, -, 10] Duration: 34900
Result: 161 Calculation: [8, +, 13, *, 7, /, 5, +, 1, +, 12, *, 2, -, 3, -, 11, +, 6, *, 9, /, 4, -, 10] Duration: 36700
Result: 48 Calculation: [7, +, 13, *, 5, /, 9, +, 8, +, 12, *, 4, -, 3, -, 11, +, 6, *, 1, /, 2, -, 10] Duration: 37500
Result: 1570 Calculation: [9, +, 13, *, 3, /, 2, +, 6, +, 12, *, 8, -, 7, -, 11, +, 5, *, 4, /, 1, -, 10] Duration: 38100
Result: 105 Calculation: [1, +, 13, *, 7, /, 9, +, 4, +, 12, *, 8, -, 6, -, 11, +, 2, *, 3, /, 5, -, 10] Duration: 34900
Result: 35 Calculation: [3, +, 13, *, 7, /, 5, +, 9, +, 12, *, 1, -, 2, -, 11, +, 4, *, 8, /, 6, -, 10] Duration: 32100
Result: 85 Calculation: [1, +, 13, *, 5, /, 3, +, 8, +, 12, *, 7, -, 9, -, 11, +, 4, *, 2, /, 6, -, 10] Duration: 28300
Result: 38 Calculation: [7, +, 13, *, 4, /, 9, +, 6, +, 12, *, 1, -, 2, -, 11, +, 5, *, 8, /, 3, -, 10] Duration: 37100
Result: 251 Calculation: [3, +, 13, *, 5, /, 6, +, 2, +, 12, *, 9, -, 4, -, 11, +, 1, *, 8, /, 7, -, 10] Duration: 36400
Result: 7 Calculation: [4, +, 13, *, 9, /, 5, +, 6, +, 12, *, 3, -, 2, -, 11, +, 7, *, 1, /, 8, -, 10] Duration: 34600
Result: 20 Calculation: [3, +, 13, *, 5, /, 7, +, 1, +, 12, *, 6, -, 4, -, 11, +, 8, *, 2, /, 9, -, 10] Duration: 37300
Result: 440 Calculation: [7, +, 13, *, 3, /, 1, +, 5, +, 12, *, 9, -, 8, -, 11, +, 2, *, 4, /, 6, -, 10] Duration: 38400
Result: -1 Calculation: [6, +, 13, *, 7, /, 8, +, 4, +, 12, *, 3, -, 5, -, 11, +, 2, *, 1, /, 9, -, 10] Duration: 37200
Result: 1432 Calculation: [9, +, 13, *, 8, /, 2, +, 5, +, 12, *, 7, -, 4, -, 11, +, 1, *, 6, /, 3, -, 10] Duration: 38200
Result: 195 Calculation: [3, +, 13, *, 8, /, 7, +, 1, +, 12, *, 5, -, 9, -, 11, +, 2, *, 6, /, 4, -, 10] Duration: 37900
Result: 1184 Calculation: [4, +, 13, *, 6, /, 1, +, 3, +, 12, *, 9, -, 2, -, 11, +, 5, *, 8, /, 7, -, 10] Duration: 37000
Result: 485 Calculation: [6, +, 13, *, 9, /, 7, +, 2, +, 12, *, 3, -, 8, -, 11, +, 4, *, 5, /, 1, -, 10] Duration: 29900
Result: 41 Calculation: [3, +, 13, *, 1, /, 5, +, 7, +, 12, *, 2, -, 8, -, 11, +, 9, *, 6, /, 4, -, 10] Duration: 36300
Result: 28 Calculation: [9, +, 13, *, 8, /, 4, +, 6, +, 12, *, 2, -, 5, -, 11, +, 7, *, 1, /, 3, -, 10] Duration: 36200
Result: 82 Calculation: [3, +, 13, *, 7, /, 9, +, 8, +, 12, *, 6, -, 1, -, 11, +, 5, *, 2, /, 4, -, 10] Duration: 38300
Result: 5134 Calculation: [5, +, 13, *, 7, /, 1, +, 6, +, 12, *, 9, -, 3, -, 11, +, 4, *, 8, /, 2, -, 10] Duration: 42000
Result: 323 Calculation: [2, +, 13, *, 1, /, 4, +, 7, +, 12, *, 6, -, 5, -, 11, +, 9, *, 8, /, 3, -, 10] Duration: 39000
